Date	X-Cood	Y-Cood	Time	Weather	"Habitat Type"	Activity	"Total no. In group"	"Male A"	"Male SA"	"Female A"	"Female SA"	Juv.	Unidentified																																																																																																																																													
														MOTO	QUEEN	FABRICE	PARIS	DAISY	AURELIA	DONALD	MICKEY	PAKA	HECTOR	SANTA	MOHAWK	MAX	SAN	NUGGET	SCORPIO	DAF	BUTTERCUP	VERMONT	BERTA	RUBY	LOUISA	ARROW	SNAKEBITE	BEAUTY	SANDWICH	YELLOWSTRIPE	MARIN	SAA	NATHANEAL	JOY	NJOGU	BEN	AMOS	SOPHIE	FANNY	FLAME	ARGOS	PRISM	DELTA	SPACE	SPECK	PUCKER	TWISTER	MURREU	ATOLL	PAPILLION	ELISA	JOSHUA	BEATY	MOSES	SHARKFIN	HELEN	MARY	NELSON	JOMO	CRISP	BUBBLE	ROMEO	NEMO	EMILIO	TOM	M022	Dobby	M049	Pigwidgeon	Hestia	Ruthie	J023-Shorty	J024	J025	J027	Reamus	Dirty	Luna	Fitch	Rambo	Phantom	Marco	Mario	Mundungus	Yogurt	Boundary	Sam	Sarah	Malabar	Aragog	Salty	Gandalf	Hedge	Bertie	Jedi	Molly	Cathy	Mbugua	Christi	TIGER	TOBIKO	STEP	charlie	unidentified	juliet	James	Ginny	Butterfly	Cactus	Star	Trousers	Morse	Collins	Britannia	Ketchup	Simba	Banana	Daenerys	J059	J060	J041	J042	J043	J062	J061	J064	J065	J056	J058	J050	J055	J063	J054	J039	J066	J037	J057	J067	J031	J053	J038	J030	JO72	JANET
2017/10/02	-0.47558	36.16927	14:30:00	Cloudy	Grassland	Resting	31	1		15		15			1			1	1		1				1							1		1			1		1			1		1					1														1		1	1																																		1			1												1				1	1	1	1	1		1	1	1	1																										
2018/01/03	-0.43767	36.16927	12:14:00	Sunny	"Lakeshore"	Feeding	4			2		2																																				1																																																							1																		1		1																															
2018/01/03	-0.47407	36.16927	17:23:00	Sunny	Grassland	Feeding	5	1		2		2																								1						1																									1																						1																									1																																								
2018/01/05	-0.42284	36.16927	08:55:00	Sunny	"Acacia mix"	Feeding	1	1																					1																																																																																																																													
2018/01/05	-0.39183	36.16927	09:30:00	Sunny	"Acacia mix"	Feeding	5						5																																1																																		1								1																																																																			
2018/01/08	-0.49518	36.16927	08:44:00	Sunny	"Acacia mix"	Standing	1	1																																																															1																																																																																			
2018/01/08	-0.3852	36.16927	11:20:00	Sunny	"Acacia mix"	Feeding	4	4								1																													1										1		1																																																																																																	
2018/01/08	-0.39148	36.16927	12:04:00	Sunny	"Acacia mix"	Feeding	5	5																					1																																								1				1																			1					1																																																									
2018/01/08	-0.4671	36.16927	13:15:00	Sunny	"Acacia mix"		2			1		1																																																																																																																																														
2018/01/09	-0.39417	36.16927	15:40:00	Sunny	"Acacia mix"	Feeding	7		1	2		4																						1																																1																					1																											1															1	1																								
2018/01/09	-0.3833	36.16927	16:05:00	Sunny	"Acacia mix"	Feeding	6	6																																																																																																																																																		
2018/01/11	-0.4632	36.16927	14:45:00	Cloudy	"Acacia mix"	Walking	2	2																																						1																									1																																																																																			
2018/01/11	-0.4632	36.16927	14:45:00	Cloudy	"Acacia mix"	Feeding	2			1		1																					1																																																																																																		1	1	1																					
2018/01/11	-0.42863	36.16927	15:25:00	Cloudy	"Acacia mix"	Feeding	11	2		3		5	1		1				1		1				1																																	1	1																																																							1	1																																							
2018/01/11	-0.41904	36.16927	16:00:00	Cloudy	"Acacia mix"	Standing	1	1														1																																																																																																																																				
2018/01/11	-0.4351	36.16927	16:35:00	Cloudy	"Acacia mix"	Feeding	12			10			2																		1						1	1	1	1				1									1							1			1																		1																																	1																																								
2018/01/19	-0.44309	36.16927	10:10:00	Sunny	"Acacia woodland"	Feeding	17	3		8		6																																									1												1																																																																																									
2018/01/19	-0.42289	36.16927	11:40:00	Sunny	"Acacia mix"	Feeding	3	1		1		1																																		1		1																																																																																						1																				
2018/01/19	-0.45571	36.16927	12:10:00	Sunny	"Acacia woodland"	Walking	1	1																																																																1																																																																																		
2018/01/22	-0.50097	36.16927	14:55:00	Sunny	Grassland	Feeding	4	1		2		1																							1																																																																																																				1																			
2018/01/22	-0.44374	36.16927	15:37:00	Sunny	"Acacia mix"	Feeding	2			1		1																					1																																																																																																							1																		
2018/01/22	-0.43359	36.16927	15:49:00	Sunny	"Acacia woodland"	Feeding	1	1																												1																																																																																																																						
2018/01/22	-0.40822	36.16927	16:00:00	Sunny	"Acacia woodland"	Feeding	11	3		8								1																																													1		1	1					1									1																																																																										
2018/01/22	-0.39161	36.16927	16:15:00	Sunny	"Acacia mix"		1	1																																																																																							1																																																											
2018/01/22	-0.39737	36.16927	16:23:00	Sunny	"Acacia woodland"	Feeding	7	7																1				1													1																																				1																			1																																																										
2018/01/22	-0.39069	36.16927	16:39:00	Sunny	"Acacia woodland"	Feeding	1	1								1																																																																																																																																										
2018/01/22	-0.42637	36.16927	17:27:00	Sunny	Grassland	Feeding	1	1																																																						1																																																																																												
2018/01/25	-0.4268	36.16927	17:37:00	Sunny	Grassland	Feeding	4	4																				1																																																																									1																																				1																	
2018/01/25	-0.426	36.16927	18:00:00	Sunny	"Acacia mix"	Feeding	1	1																																																																																																																																																		
2018/01/26	-0.44038	36.16927	09:57:00	Sunny	Grassland	Walking	2	1		1																																								1																																													1																																																											
2018/01/26	-0.47337	36.16927	11:34:00	Sunny	Grassland	Walking	1	1																																																															1																																																																																			
2018/01/26	-0.43264	36.16927	12:50:00	Sunny	"Acacia woodland"	Standing	4	1		3																																																																																			1																																													1																
2018/01/30	-0.46573	36.16927	15:46:00	Sunny	"Acacia woodland"	Feeding	2			1		1																					1																																																																																																							1																		
2018/01/30	-0.46415	36.16927	16:00:00	Sunny	"Acacia woodland"	Walking	4	3		1								1																				1												1																					1																1								1																																																											
2018/01/30	-0.42548	36.16927	"1900/01/01 01:37:00"	Sunny	"Acacia woodland"	Walking	12	1		3		7	1																																1																		1																									1	1																																								1	1									1	1	1													
